11,81,38,20,11,6,4,0,2,0,1,0,0,0,0,
11,81,38,20,11,6,4,0,2,0,1,0,0,0,0,
11,81,37,20,12,6,5,0,2,0,0,0,0,0,0,
11,81,37,22,11,6,5,0,2,0,0,0,0,0,0,
11,80,38,21,11,7,5,0,2,0,0,0,0,0,0,
11,81,37,22,11,7,5,0,2,0,0,0,0,0,0,
11,81,36,22,11,7,5,0,2,0,0,0,0,0,0,
11,80,36,23,11,7,5,0,2,0,0,0,0,0,0,
11,80,37,22,11,7,5,0,2,0,0,0,0,0,0,
11,79,38,22,11,7,5,0,2,0,0,0,0,0,0,
12,78,38,23,11,8,4,0,2,0,0,0,0,0,0,
12,78,38,24,11,8,4,0,2,0,0,0,0,0,0,
12,78,38,24,11,8,4,0,2,0,0,0,0,0,0,
12,77,39,24,11,8,4,0,2,0,0,0,0,0,0,
12,77,40,24,11,8,4,0,2,0,0,0,0,0,0,
12,77,40,25,11,8,4,0,2,0,0,0,0,0,0,
12,76,40,26,11,8,4,0,2,0,0,0,0,0,0,
12,76,41,26,11,8,4,0,2,0,0,0,0,0,0,
12,76,41,27,11,8,4,0,2,0,0,0,0,0,0,
12,76,41,27,11,8,4,0,2,0,0,0,0,0,0,
14,59,16,5,5,1,2,1,0,0,0,0,0,0,0,
14,57,16,5,5,2,2,1,0,0,0,0,0,0,0,
14,58,16,5,5,2,2,1,0,0,0,0,0,0,0,
14,58,16,5,5,2,2,1,0,0,0,0,0,0,0,
12,52,25,6,6,1,0,1,0,0,0,0,0,0,0,
12,52,25,6,6,2,0,1,0,0,0,0,0,0,0,
12,52,25,6,6,2,0,1,0,0,0,0,0,0,0,
15,85,50,21,11,7,1,0,0,0,0,0,0,1,0,
15,87,48,22,11,7,1,0,0,0,0,0,0,1,0,
26,56,12,3,1,1,0,0,0,0,0,0,0,0,0,
26,55,13,3,1,1,0,0,0,0,0,0,0,0,0,
20,79,35,12,9,4,1,0,2,1,0,0,0,0,0,
20,78,35,12,10,4,1,0,2,1,0,0,0,0,0,
18,76,45,13,6,3,5,2,2,2,0,0,0,0,0,
22,79,40,11,5,3,1,0,0,0,0,0,0,0,0,
22,79,40,11,5,3,1,0,0,0,0,0,0,0,0,
18,60,28,11,2,4,0,1,0,2,1,0,0,0,0,
10,62,24,16,3,7,0,0,0,2,0,0,0,0,0,
11,38,26,8,2,1,1,2,1,1,0,0,0,0,0,
7,43,17,6,1,2,1,0,1,0,0,0,0,0,0,
11,65,35,23,10,3,1,6,1,0,0,0,0,0,0,
7,28,6,7,1,1,2,0,1,0,0,0,0,0,0,
16,52,21,10,6,3,2,0,2,0,1,0,0,0,0,
9,74,30,7,7,1,2,0,1,0,0,0,0,0,0,
17,51,33,7,6,2,2,2,1,1,1,0,0,0,0,
14,50,29,10,2,0,0,1,0,0,1,0,0,0,0,
14,65,48,19,10,0,4,1,0,0,1,0,0,0,0,
23,59,16,3,3,1,0,0,0,0,0,0,0,0,0,
23,56,22,5,3,2,2,0,0,0,1,0,0,0,0,
17,45,29,10,3,2,0,0,0,4,0,0,0,0,0,
7,46,15,13,5,8,3,1,0,1,1,0,0,0,0,
21,53,27,7,4,3,0,2,1,1,0,0,0,0,0,
8,31,6,5,3,1,1,1,0,0,0,0,0,0,0,
2,22,9,6,2,0,0,0,1,0,1,0,0,0,0,
